,Country,Vaccine_Manufacturer,Date,Total_Vaccinations,ancestral_alpha_severe,ancestral_alpha_infection,beta_gamma_delta_severe,beta_gamma_delta_infection,omicron_severe,omicron_infection,year,Vaccine_Wise_Max_Total_Vaccination,Total_Vaccination_Country_Wise,Percentage_of_Vaccine,Vaccine_Manufacturers_,efficacy_ancestral_alpha_severe_,efficacy_ancestral_alpha_infection_,efficacy_beta_gamma_delta_severe_,efficacy_beta_gamma_delta_infection_,efficacy_omicron_severe_,efficacy_omicron_infection_,breakThrough_ancestral_alpha_severe_,breakThrough_ancestral_alpha_infection_,breakThrough_beta_gamma_delta_severe_,breakThrough_beta_gamma_delta_infection_,breakThrough_omicron_severe_,breakThrough_omicron_infection_,pop_20,pop_21,pop_22
125,Malta,Johnson&Johnson,2021-02-26,5,4,3,3,3,2,1,2021,32404,1272782.0,0.025459190969074043,Johnson&Johnson,2.19,1.83,1.93,1.63,1.45,0.84,97.81,98.17,98.07,98.37,98.55,99.16,515358,526748,533286
126,Malta,Moderna,2021-01-15,2,1,1,1,1,1,0,2021,278693,1272782.0,0.2189636559913638,Moderna,21.24,20.14,21.24,19.93,15.98,10.51,78.76,79.86,78.76,80.07,84.02,89.49,515358,526748,533286
127,Malta,Oxford/AstraZeneca,2021-01-08,3,2,1,2,2,2,1,2021,227860,1272782.0,0.1790251590610175,Oxford/AstraZeneca,16.83,11.28,16.83,12.35,12.71,6.44,83.17,88.72,83.17,87.65,87.29,93.56,515358,526748,533286
128,Malta,Pfizer/BioNTech,2021-01-01,57,54,49,54,47,41,25,2021,733825,1272782.0,0.5765519939785446,Pfizer/BioNTech,54.77,49.58,54.77,48.43,41.51,25.37,45.23,50.42,45.23,51.57,58.49,74.63,515358,526748,533286
129,Nepal,Johnson&Johnson,2022-02-19,3005246,2584511,2163777,2283986,1923357,1712990,991731,2022,3693423,46888075.0,0.0787710521278598,Johnson&Johnson,6.77,5.67,5.99,5.04,4.49,2.6,93.23,94.33,94.01,94.96,95.51,97.4,29348627,30034989,30547580
130,Nepal,Moderna,2022-02-19,5150063,4995561,4738057,4995561,4686557,3759545,2472030,2022,7336243,46888075.0,0.15646287462217207,Moderna,15.18,14.39,15.18,14.24,11.42,7.51,84.82,85.61,84.82,85.76,88.58,92.49,29348627,30034989,30547580
131,Nepal,Oxford/AstraZeneca,2022-02-19,9247554,8692700,5825959,8692700,6380812,6565763,3329119,2022,14088349,46888075.0,0.30046763489437345,Oxford/AstraZeneca,28.24,18.93,28.24,20.73,21.33,10.82,71.76,81.07,71.76,79.27,78.67,89.18,29348627,30034989,30547580
132,Nepal,Pfizer/BioNTech,2022-02-19,485819,461528,417804,461528,408087,349789,213760,2022,1797582,46888075.0,0.03833772233131772,Pfizer/BioNTech,3.64,3.3,3.64,3.22,2.76,1.69,96.36,96.7,96.36,96.78,97.24,98.31,29348627,30034989,30547580
133,Nepal,Sinopharm/Beijing,2022-02-19,18974500,13851385,12902660,13471895,12712915,10056485,6641075,2022,19972478,46888075.0,0.425960716024277,Sinopharm/Beijing,31.1,28.97,30.24,28.54,22.58,14.91,68.9,71.03,69.76,71.46,77.42,85.09,29348627,30034989,30547580
134,Netherlands,Johnson&Johnson,2021-01-01,0,0,0,0,0,0,0,2021,755296,34376849.0,0.021971065469089387,Johnson&Johnson,1.89,1.58,1.67,1.41,1.25,0.73,98.11,98.42,98.33,98.59,98.75,99.27,17434557,17501696,17564014
135,Netherlands,Moderna,2021-01-01,0,0,0,0,0,0,0,2021,8448384,34376849.0,0.24575795181227925,Moderna,23.84,22.61,23.84,22.36,17.94,11.8,76.16,77.39,76.16,77.64,82.06,88.2,17434557,17501696,17564014
136,Netherlands,Novavax,2021-01-01,0,0,0,0,0,0,0,2021,2707,34376849.0,7.874485529491083e-05,Novavax,0.01,0.01,0.01,0.01,0.01,0.0,99.99,99.99,99.99,99.99,99.99,100.0,17434557,17501696,17564014
137,Netherlands,Oxford/AstraZeneca,2021-01-01,0,0,0,0,0,0,0,2021,2473242,34376849.0,0.07194498832630064,Oxford/AstraZeneca,6.76,4.53,6.76,4.96,5.11,2.59,93.24,95.47,93.24,95.04,94.89,97.41,17434557,17501696,17564014
138,Netherlands,Pfizer/BioNTech,2021-01-01,0,0,0,0,0,0,0,2021,22697220,34376849.0,0.6602472495370358,Pfizer/BioNTech,62.72,56.78,62.72,55.46,47.54,29.05,37.28,43.22,37.28,44.54,52.46,70.95,17434557,17501696,17564014
139,Norway,Johnson&Johnson,2021-03-05,34,29,24,25,21,19,11,2021,7346,11875213.0,0.0006185994305954764,Johnson&Johnson,0.05,0.04,0.05,0.04,0.04,0.02,99.95,99.96,99.95,99.96,99.96,99.98,5379839,5403021,5434319
140,Norway,Moderna,2021-01-08,48,46,44,46,43,35,23,2021,2351225,11875213.0,0.19799434334356783,Moderna,19.21,18.22,19.21,18.02,14.45,9.5,80.79,81.78,80.79,81.98,85.55,90.5,5379839,5403021,5434319
141,Norway,Oxford/AstraZeneca,2021-01-08,4,3,2,3,2,2,1,2021,147947,11875213.0,0.012458471271210041,Oxford/AstraZeneca,1.17,0.78,1.17,0.86,0.88,0.45,98.83,99.22,98.83,99.14,99.12,99.55,5379839,5403021,5434319
142,Norway,Pfizer/BioNTech,2021-01-01,69,65,59,65,57,49,30,2021,9368695,11875213.0,0.7889285859546267,Pfizer/BioNTech,74.95,67.85,74.95,66.27,56.8,34.71,25.05,32.15,25.05,33.73,43.2,65.29,5379839,5403021,5434319
143,Peru,Moderna,2022-03-26,2,1,1,1,1,1,0,2022,5105330,84780770.0,0.06021801877949445,Moderna,5.84,5.54,5.84,5.48,4.4,2.89,94.16,94.46,94.16,94.52,95.6,97.11,33304756,33715471,34049588
144,Peru,Oxford/AstraZeneca,2021-04-20,13,12,8,12,8,9,4,2021,8022799,84780770.0,0.09462993789747369,Oxford/AstraZeneca,8.9,5.96,8.9,6.53,6.72,3.41,91.1,94.04,91.1,93.47,93.28,96.59,33304756,33715471,34049588
145,Peru,Pfizer/BioNTech,2021-03-04,24,22,20,22,20,17,10,2021,50440512,84780770.0,0.5949522751444697,Pfizer/BioNTech,56.52,51.17,56.52,49.98,42.84,26.18,43.48,48.83,43.48,50.02,57.16,73.82,33304756,33715471,34049588
146,Peru,Sinopharm/Beijing,2021-02-09,3860,2817,2624,2740,2586,2045,1351,2021,21212129,84780770.0,0.2501997681785622,Sinopharm/Beijing,18.26,17.01,17.76,16.76,13.26,8.76,81.74,82.99,82.24,83.24,86.74,91.24,33304756,33715471,34049588
147,Poland,Johnson&Johnson,2021-01-01,0,0,0,0,0,0,0,2021,2722660,52947094.0,0.05142227446892553,Johnson&Johnson,4.42,3.7,3.91,3.29,2.93,1.7,95.58,96.3,96.09,96.71,97.07,98.3,38428366,38307726,39857145
148,Poland,Moderna,2021-01-01,0,0,0,0,0,0,0,2021,3783258,52947094.0,0.07145355323939025,Moderna,6.93,6.57,6.93,6.5,5.22,3.43,93.07,93.43,93.07,93.5,94.78,96.57,38428366,38307726,39857145
149,Poland,Novavax,2021-01-01,0,0,0,0,0,0,0,2021,14950,52947094.0,0.0002823573282416595,Novavax,0.03,0.02,0.02,0.02,0.02,0.01,99.97,99.98,99.98,99.98,99.98,99.99,38428366,38307726,39857145
